origin_id,facility_name,street_address,city,state,zip_code,latitude,longitude,facility_type,size_category,primary_industries,operating_hours,dock_doors,temp_controlled,hazmat_certified,rail_access,region,metro_area,characteristics_nl
ATL-01,Peachtree Distribution Center,2500 Logistics Parkway,Atlanta,GA,30349,33.6407,-84.4277,Distribution Center,Large,Retail|Electronics|Consumer Goods,24/7,85,Yes,No,Yes,Southeast,Atlanta Metro,"Large 24/7 distribution center in Atlanta serving retail and electronics, temperature controlled with rail access, over 80 dock doors"
ATL-02,Hartsfield Logistics Hub,1800 Phoenix Boulevard,Atlanta,GA,30354,33.649,-84.4336,Cross-Dock,Medium,General Freight|Automotive,Extended Hours,45,No,Yes,No,Southeast,Atlanta Metro,"Medium-sized cross-dock facility near Hartsfield airport, handles automotive and general freight with hazmat certification"
ATL-03,Marietta Food Distribution,4200 Industrial Park Drive,Marietta,GA,30062,33.9526,-84.5499,Distribution Center,Medium,Food & Beverage|Grocery,Business Hours,32,Yes,No,No,Southeast,Atlanta Metro,"Food and beverage distribution center north of Atlanta, refrigerated storage, operates business hours only"
CHI-01,O'Hare Mega Warehouse,5500 Warehouse Row,Elk Grove Village,IL,60007,41.9842,-87.9073,Distribution Center,Mega,Retail|Electronics|Pharmaceuticals,24/7,120,Yes,Yes,Yes,Midwest,Chicago Metro,"Massive 24/7 distribution hub near O'Hare airport, multi-industry with pharma capabilities, temperature controlled and hazmat certified"
CHI-02,South Side Manufacturing Plant,8900 Industrial Avenue,Chicago,IL,60617,41.7142,-87.5558,Manufacturing Plant,Large,Automotive|Machinery,Extended Hours,60,No,Yes,Yes,Midwest,Chicago Metro,"Large manufacturing plant on Chicago's south side, automotive and heavy machinery, rail-served with hazmat capabilities"
CHI-03,Naperville Tech Center,1200 Technology Drive,Naperville,IL,60563,41.7508,-88.1535,Distribution Center,Medium,Electronics|High Tech,Business Hours,28,Yes,No,No,Midwest,Chicago Metro,"Suburban technology products distribution center, climate controlled for sensitive electronics, western Chicago suburbs"
CHI-04,Joliet Intermodal Facility,3400 Logistics Boulevard,Joliet,IL,60436,41.5278,-88.1476,Cross-Dock,Large,General Freight|Intermodal,24/7,75,No,No,Yes,Midwest,Chicago Metro,"Major intermodal cross-dock facility with direct rail connections, handles high-volume general freight around the clock"
CHI-05,Schaumburg Pharmaceutical DC,950 Biotech Parkway,Schaumburg,IL,60173,42.0334,-88.0834,Distribution Center,Medium,Pharmaceuticals|Medical Devices,24/7,35,Yes,Yes,No,Midwest,Chicago Metro,"Specialized pharmaceutical distribution with strict temperature control and security, 24/7 operations for medical supply chain"
DFW-01,Alliance Global Logistics,9800 Westport Parkway,Fort Worth,TX,76177,32.9898,-97.3191,Distribution Center,Mega,Retail|General Freight|Automotive,24/7,150,No,Yes,Yes,Southwest,Dallas-Fort Worth,"Massive distribution complex at Alliance Airport, serves multiple industries with extensive rail and air access"
DFW-02,Irving Electronics Hub,3300 Gateway Drive,Irving,TX,75063,32.8754,-96.9702,Distribution Center,Large,Electronics|Consumer Goods,Extended Hours,68,Yes,No,No,Southwest,Dallas-Fort Worth,"Major electronics distribution hub between Dallas and Fort Worth, temperature controlled for sensitive equipment"
DFW-03,Laredo Border Warehouse,7200 Trade Center Boulevard,Laredo,TX,78045,27.5942,-99.4872,Cross-Dock,Medium,General Freight|Food & Beverage,24/7,50,Yes,No,No,Southwest,Laredo,"Border cross-dock facility handling US-Mexico trade, refrigerated capacity for produce and food products"
DFW-04,Houston Port Terminal,12500 Port Road,Houston,TX,77015,29.7355,-95.2305,Port Terminal,Large,Chemicals|Machinery|General Freight,24/7,90,No,Yes,Yes,Southwest,Houston Metro,"Major port facility handling containerized freight, chemicals, and heavy equipment with full hazmat and rail capabilities"
DFW-05,San Antonio Food Distribution,5600 Commerce Street,San Antonio,TX,78220,29.396,-98.4003,Distribution Center,Medium,Food & Beverage|Grocery,Extended Hours,42,Yes,No,No,Southwest,San Antonio,"Regional food distribution center serving South Texas, full refrigeration and freezer capabilities"
LAX-01,Carson Mega Distribution,18900 South Alameda Street,Carson,CA,90746,33.8303,-118.2481,Distribution Center,Mega,Retail|Electronics|Consumer Goods,24/7,135,Yes,No,Yes,West,Los Angeles Metro,"Massive distribution center serving Southern California retail market, near port access with rail connections"
LAX-02,Ontario Logistics Center,4500 Milliken Avenue,Ontario,CA,91761,34.0633,-117.5643,Distribution Center,Large,General Freight|Retail,24/7,95,No,No,No,West,Inland Empire,"Large 24/7 distribution facility in Inland Empire, high-volume retail and e-commerce fulfillment"
LAX-03,Long Beach Import Warehouse,2100 Terminal Way,Long Beach,CA,90802,33.7542,-118.1863,Port Terminal,Large,General Freight|Consumer Goods,24/7,70,No,No,Yes,West,Los Angeles Metro,"Import-focused warehouse adjacent to Long Beach port, handles containerized consumer goods with rail transfer"
LAX-04,Fresno Agricultural Hub,8200 Golden State Boulevard,Fresno,CA,93725,36.7014,-119.7939,Cross-Dock,Medium,Food & Beverage|Agricultural,Extended Hours,38,Yes,No,No,West,Fresno,"Central Valley agricultural distribution, handles fresh produce with refrigeration, serves California farming region"
LAX-05,San Diego Tech Distribution,5900 Miramar Road,San Diego,CA,92121,32.8942,-117.147,Distribution Center,Medium,Electronics|High Tech|Medical Devices,Business Hours,30,Yes,Yes,No,West,San Diego,"High-tech and medical device distribution, climate controlled with clean room capabilities, pharmaceutical grade"
NYC-01,Newark Mega Port Facility,500 Port Newark Avenue,Newark,NJ,7114,40.6926,-74.1524,Port Terminal,Mega,General Freight|Consumer Goods|Automotive,24/7,160,No,Yes,Yes,Northeast,New York Metro,"Massive port facility serving NYC metro area, handles containers and automotive imports with extensive rail network"
NYC-02,Bronx Food Distribution,1200 Bruckner Boulevard,Bronx,NY,10472,40.8296,-73.8617,Distribution Center,Large,Food & Beverage|Grocery,Extended Hours,55,Yes,No,No,Northeast,New York Metro,"Major food distribution center serving NYC boroughs, full refrigeration for perishables, high-volume grocery"
NYC-03,Edison E-Commerce Center,850 Central Avenue,Edison,NJ,8817,40.5051,-74.3624,Distribution Center,Large,Retail|Consumer Goods|Electronics,24/7,72,No,No,No,Northeast,New York Metro,"E-commerce fulfillment center in central New Jersey, serves online retail for NYC metro rapid delivery"
NYC-04,Yonkers Cross-Dock,300 Saw Mill River Road,Yonkers,NY,10701,40.9312,-73.8988,Cross-Dock,Small,General Freight,Extended Hours,22,No,No,No,Northeast,New York Metro,"Small cross-dock operation in Westchester, handles LTL freight for northern NYC suburbs"
NYC-05,Carlstadt Pharmaceutical,475 Paterson Plank Road,Carlstadt,NJ,7072,40.8315,-74.0768,Distribution Center,Medium,Pharmaceuticals|Medical Devices,24/7,28,Yes,Yes,No,Northeast,New York Metro,"Specialized pharmaceutical distribution near NYC metro, strict temperature and security protocols, 24/7 medical supply"
PHX-01,Phoenix West Distribution,8900 West Lower Buckeye Road,Phoenix,AZ,85043,33.4372,-112.2238,Distribution Center,Large,Retail|Consumer Goods,24/7,80,No,No,No,Southwest,Phoenix Metro,"Large retail distribution center in west Phoenix, serves Southwest region, high-volume consumer goods"
PHX-02,Tucson Border Logistics,5200 South Park Avenue,Tucson,AZ,85706,32.1846,-110.9748,Cross-Dock,Medium,General Freight|Food & Beverage,Extended Hours,40,Yes,No,No,Southwest,Tucson,"Border region cross-dock handling US-Mexico freight, refrigerated capacity for produce imports"
PHX-03,Mesa Electronics Center,1500 South Sossaman Road,Mesa,AZ,85212,33.3922,-111.6853,Distribution Center,Medium,Electronics|High Tech,Business Hours,35,Yes,No,No,Southwest,Phoenix Metro,"Electronics distribution in East Valley, climate controlled for technology products, serves Southwest retailers"
SEA-01,Tacoma Port Warehouse,1900 Alexander Avenue,Tacoma,WA,98421,47.2676,-122.4248,Port Terminal,Large,General Freight|Machinery|Automotive,24/7,85,No,Yes,Yes,Pacific Northwest,Seattle-Tacoma,"Major port facility in Tacoma handling Pacific Rim imports, heavy machinery and automotive with rail access"
SEA-02,Kent Distribution Center,22000 84th Avenue South,Kent,WA,98032,47.3809,-122.2318,Distribution Center,Large,Retail|E-Commerce|Consumer Goods,24/7,95,No,No,No,Pacific Northwest,Seattle-Tacoma,"Large e-commerce fulfillment center south of Seattle, serves Pacific Northwest retail and online orders"
