equipment_code,equipment_name,equipment_category,length_ft,width_ft,height_ft,internal_volume_cuft,max_payload_lbs,tare_weight_lbs,door_type,floor_type,temp_control_type,temp_range,specialized_features,commodity_compatibility,typical_applications,cost_per_mile,availability,characteristics_nl
DV-53,53ft Dry Van,Dry Van,53,8.5,9,4000,45000,15000,Swing doors|Rear,Wood|Aluminum,None,NA,Standard freight|Air ride suspension,General freight|Retail|Packaged goods,General purpose freight and retail distribution,2.5,Very High,"Standard 53-foot dry van trailer for general freight, most common equipment type, suitable for palletized goods and retail merchandise, no temperature control"
DV-48,48ft Dry Van,Dry Van,48,8.5,9,3600,45000,14000,Swing doors|Rear,Wood|Aluminum,None,NA,Standard freight|Air ride suspension,General freight|Retail|Packaged goods,Regional distribution and general freight,2.4,High,"Shorter 48-foot dry van, good for regional routes and urban delivery, standard freight capacity without temperature control"
DV-28,28ft Pup Trailer,Dry Van,28,8.5,9,2100,28000,8500,Swing doors|Rear,Wood,None,NA,City delivery|Shorter length,General freight|LTL|Urban delivery,Urban and LTL distribution,2.2,Medium,"Short pup trailer for city deliveries and LTL operations, easier maneuverability in urban environments, no climate control"
REEFER-53,53ft Refrigerated Van,Refrigerated,53,8.5,9,3800,43000,17000,Swing doors|Rear,Aluminum|Stainless,Multi-temp reefer,-20F to 70F,Temperature zones|Data loggers|Carrier unit,Perishable foods|Pharmaceuticals|Temp-sensitive,Food distribution and pharmaceutical logistics,3.2,High,"Full-length refrigerated trailer with multi-temperature zones, suitable for frozen and fresh products, continuous temperature monitoring, pharmaceutical grade available"
REEFER-48,48ft Refrigerated Van,Refrigerated,48,8.5,9,3400,43000,16000,Swing doors|Rear,Aluminum|Stainless,Multi-temp reefer,-20F to 70F,Temperature zones|Data loggers|Carrier unit,Perishable foods|Pharmaceuticals|Temp-sensitive,Regional cold chain distribution,3,High,"Mid-length reefer for regional distribution, multi-temp capabilities, ideal for mixed temperature loads requiring fresh and frozen zones"
REEFER-28,28ft Refrigerated Pup,Refrigerated,28,8.5,9,2000,26000,10000,Swing doors|Rear,Aluminum,Single-zone reefer,0F to 40F,Insulated|Carrier unit,Perishable foods|Small loads,Urban cold chain delivery,2.8,Medium,"Short refrigerated trailer for urban deliveries, single temperature zone, good for restaurant and grocery store deliveries"
FLATBED-48,48ft Flatbed,Flatbed,48,8.5,5,Open deck,48000,12000,No doors|Open,Wood deck,None,NA,Stake pockets|Winch points|Tarps available,Steel|Lumber|Machinery|Oversized,Construction materials and heavy equipment,2.6,Very High,"Standard flatbed for construction materials and machinery, open deck allows top and side loading, requires tarping for weather protection"
FLATBED-53,53ft Flatbed,Flatbed,53,8.5,5,Open deck,48000,13000,No doors|Open,Wood deck,None,NA,Stake pockets|Winch points|Tarps available,Steel|Lumber|Machinery|Oversized,Heavy equipment and building materials,2.7,High,"Long flatbed for oversized loads and construction equipment, maximum flexibility for loading, tarping required for weather-sensitive cargo"
STEPDECK-48,48ft Step Deck,Flatbed,48,8.5,Variable,Open deck,45000,14000,No doors|Open,Wood deck,None,NA,Lower deck height|Upper and lower decks,Tall machinery|Equipment|Oversized,Oversized equipment and tall machinery,3,Medium,"Step deck with lower main deck for taller loads, upper deck provides additional space, ideal for equipment exceeding standard height"
STEPDECK-53,53ft Step Deck,Flatbed,53,8.5,Variable,Open deck,45000,15000,No doors|Open,Wood deck,None,NA,Lower deck height|Upper and lower decks,Tall machinery|Equipment|Oversized,Heavy and tall equipment transport,3.2,Medium,"Extended step deck for maximum capacity and height clearance, two-level deck system, specialized for oversize machinery"
LOWBOY-RGN,Removable Gooseneck Lowboy,Specialized,29,8.5,1.5,Open deck,40000,18000,No doors|Detachable,Steel deck,None,NA,Detachable neck|Ultra-low deck|Heavy duty,Heavy machinery|Construction equipment,Heavy construction equipment hauling,4.5,Low,"Ultra-low deck height for extremely tall and heavy equipment, detachable gooseneck for easy loading, specialized for construction machinery"
CONESTOGA-53,53ft Conestoga,Curtainside,53,8.5,9,3900,45000,16000,Rolling curtain|Side,Wood,None,NA,Side access|Curtain sides|Top loading,General freight|Side loading needed,Freight requiring side access,3,Medium,"Curtain-side trailer with rolling tarp system, allows side loading and unloading, combines benefits of flatbed and dry van"
CONESTOGA-48,48ft Conestoga,Curtainside,48,8.5,9,3500,45000,15000,Rolling curtain|Side,Wood,None,NA,Side access|Curtain sides|Top loading,General freight|Side loading needed,Regional side-loading freight,2.8,Medium,"Mid-length curtainside for regional operations, rolling tarps provide weather protection with side access flexibility"
TANKER-DOT407,DOT-407 Liquid Tanker,Tanker,42,8.5,13,7000,45000,20000,Manhole|Bottom valve,Stainless steel,Insulated available,NA to 180F,Food grade|CIP capable|Baffled,Liquid foods|Chemicals|Oils,Liquid food products and chemicals,3.5,Medium,"Stainless steel liquid tanker for food-grade and chemical products, insulated options available, clean-in-place capable for sanitation"
