commodity_code,commodity_name,category,subcategory,hazmat_required,temp_control_required,temp_range,fragile,stackable,density_class,typical_weight_range_lbs,typical_dimensions,special_handling,nmfc_class,freight_class,value_density,shelf_life_days,compliance_requirements,characteristics_nl
ELEC-001,Consumer Electronics - Laptops,Electronics,Computers & Devices,No,No,NA,Yes,Yes,Medium,2000-5000,48x40x48,Handle with care|Theft protection,92.5,Class 100,High,NA,FCC|RoHS,"High-value laptop computers requiring theft protection and careful handling, stackable but fragile, medium density electronics"
ELEC-002,Smartphones and Tablets,Electronics,Mobile Devices,No,No,NA,Yes,Yes,Medium,1500-3500,48x40x42,Handle with care|Theft protection,92.5,Class 100,Very High,NA,FCC|RoHS|Battery Regulations,"Premium mobile devices with lithium batteries, extremely high value density, requires security and careful handling"
ELEC-003,Television Sets - Large Format,Electronics,Home Entertainment,No,No,NA,Yes,No,Low,3000-8000,Custom crating,Vertical storage only|Pad wrap,85,Class 125,Medium,NA,FCC|Energy Star,"Large flat-screen TVs requiring vertical orientation, non-stackable, fragile glass displays need protective padding"
ELEC-004,Computer Components - Processors,Electronics,Components,No,Yes,60-75F,Yes,Yes,High,500-1500,40x32x30,ESD protection|Climate control,100,Class 85,Very High,NA,RoHS|Export Control,"High-value semiconductor processors requiring temperature and humidity control, ESD protection critical, small high-density items"
ELEC-005,Home Appliances - Refrigerators,Electronics,Major Appliances,No,No,NA,No,No,Medium,8000-15000,Custom,Top load only|Upright,70,Class 150,Medium,NA,Energy Star|EPA,"Large home refrigerators must stay upright, non-stackable, contains refrigerants requiring EPA compliance"
AUTO-001,Automotive Engines,Automotive,Powertrains,No,No,NA,No,Yes,Very High,3000-8000,Engine crate,Secure blocking|Oil residue,125,Class 70,Medium,NA,EPA|DOT,"Heavy automotive engines on pallets, very high density, may contain residual fluids, requires secure blocking"
AUTO-002,Car Batteries - Lead Acid,Automotive,Electrical Components,Yes,No,NA,Yes,Yes,High,2500-6000,48x40x48,Hazmat Class 8|Upright only,60,Class 50,Low,730,DOT Hazmat|EPA|RCRA,"Lead-acid batteries are corrosive hazmat requiring upright orientation and hazmat placarding, heavy and toxic"
AUTO-003,Tires - Passenger Vehicle,Automotive,Tires & Wheels,No,No,NA,No,Yes,Low,1500-4000,Stacked|Bound,Secure stacking,200,Class 77.5,Low,NA,DOT|Scrap Tire Regulations,"Passenger car tires are low-density rubber, stackable in bundles, large volume relative to weight"
AUTO-004,Transmission Assemblies,Automotive,Powertrains,No,No,NA,No,Yes,Very High,2000-5000,Crated|Palletized,Secure blocking|Oil residue,110,Class 70,Medium,NA,EPA|DOT,"Heavy transmission systems with residual fluids, very high density, requires proper containment and blocking"
AUTO-005,Body Panels - Steel,Automotive,Body Parts,No,No,NA,Yes,No,Medium,1500-4000,Racked|A-frame,No stacking|Scratch protection,125,Class 85,Low,NA,None,"Steel body panels are scratch-sensitive, must be racked or A-framed, cannot be stacked to prevent damage"
AUTO-006,Catalytic Converters,Automotive,Emissions Systems,No,No,NA,Yes,Yes,High,500-2000,48x40x36,Theft protection|Secure,85,Class 100,Very High,NA,EPA|CARB,"High-value catalytic converters contain precious metals, theft risk is extreme, requires security measures"
FOOD-001,Fresh Produce - Leafy Greens,Food & Beverage,Produce,No,Yes,34-38F,Yes,No,Low,2000-4000,48x40x48,Refrigeration|Top load only,55,Class 55,Low,7,FDA|USDA|FSMA,"Perishable leafy vegetables requiring constant refrigeration, very short shelf life, cannot be stacked due to crushing"
FOOD-002,Frozen Meat Products,Food & Beverage,Proteins,No,Yes,0-10F,No,Yes,Medium,3000-6000,48x40x48,Freezer required|Keep frozen,55,Class 55,Medium,180,USDA|FDA|HACCP,"Frozen beef and pork requiring sub-zero temperatures throughout transit, must maintain cold chain, stackable when frozen"
FOOD-003,Dairy Products - Milk & Cheese,Food & Beverage,Dairy,No,Yes,34-40F,Yes,Yes,Medium,2500-5000,48x40x42,Refrigeration|Date sensitive,60,Class 60,Low,21,FDA|State Dairy Laws,"Refrigerated dairy with short shelf life, temperature-sensitive and date-coded, requires cold chain documentation"
FOOD-004,Beverages - Bottled Water,Food & Beverage,Beverages,No,No,NA,No,Yes,Medium,3500-7000,48x40x48,Heavy|Stackable,60,Class 60,Low,730,FDA|State Bottling,"Heavy pallets of bottled water, high density due to liquid weight, easily stackable, long shelf life"
